,origin_id,destination_id,total_trips,Arrival Hour
0,"Leblon, (103)","STADIUM AREA, (182)",18.36,0
1,"Lins de Vasconcelos, (105)","STADIUM AREA, (182)",10.76,0
2,"NILÓPOLIS, (11)","STADIUM AREA, (182)",10.13,0
3,"Marechal Hermes, (111)","STADIUM AREA, (182)",13.04,0
4,"Maré, (113)","STADIUM AREA, (182)",14.37,0
5,"Méier, (115)","STADIUM AREA, (182)",19.52,0
6,"Parque Columbia, (123)","STADIUM AREA, (182)",11.88,0
7,"Pilares, (130)","STADIUM AREA, (182)",12.88,0
8,"Praça da Bandeira, (135)","STADIUM AREA, (182)",44.21,0
9,"Recreio dos Bandeirantes, (139)","STADIUM AREA, (182)",12.27,0
10,"Rio Comprido, (143)","STADIUM AREA, (182)",25.76,0
11,"Santa Teresa, (149)","STADIUM AREA, (182)",18.17,0
12,"Saúde, (152)","STADIUM AREA, (182)",14.14,0
13,"São Cristóvão, (157)","STADIUM AREA, (182)",46.55,0
14,"Tijuca, (162)","STADIUM AREA, (182)",149.25,0
15,"Tomás Coelho, (164)","STADIUM AREA, (182)",23.08,0
16,"SÃO GONÇALO, (17)","STADIUM AREA, (182)",14.48,0
17,"Vila Isabel, (174)","STADIUM AREA, (182)",92.69,0
18,"DUQUE DE CAXIAS, (2)","STADIUM AREA, (182)",17.29,0
19,"Andaraí, (26)","STADIUM AREA, (182)",42.77,0
20,"Barra da Tijuca, (30)","STADIUM AREA, (182)",23.6,0
21,"Benfica, (33)","STADIUM AREA, (182)",17.93,0
22,"Bonsucesso, (35)","STADIUM AREA, (182)",14.26,0
23,"Botafogo, (36)","STADIUM AREA, (182)",44.5,0
24,"Caju, (40)","STADIUM AREA, (182)",22.54,0
25,"Catete, (46)","STADIUM AREA, (182)",15.51,0
26,"Centro, (49)","STADIUM AREA, (182)",45.6,0
27,"Cidade Universitária, (51)","STADIUM AREA, (182)",11.55,0
28,"Complexo do Alemão, (56)","STADIUM AREA, (182)",12.35,0
29,"Copacabana, (57)","STADIUM AREA, (182)",31.56,0
30,"Cosme Velho, (59)","STADIUM AREA, (182)",11.34,0
31,"Engenho Novo, (67)","STADIUM AREA, (182)",10.37,0
32,"Flamengo, (71)","STADIUM AREA, (182)",19.07,0
33,"Gamboa, (75)","STADIUM AREA, (182)",10.63,0
34,"Gávea, (83)","STADIUM AREA, (182)",15.65,0
35,"Higienópolis, (84)","STADIUM AREA, (182)",12.29,0
36,"Inhaúma, (87)","STADIUM AREA, (182)",10.6,0
37,"Ipanema, (89)","STADIUM AREA, (182)",14.02,0
38,"Irajá, (90)","STADIUM AREA, (182)",19.39,0
39,"Jardim Botânico, (96)","STADIUM AREA, (182)",15.13,0
40,"Laranjeiras, (102)","STADIUM AREA, (182)",14.62,1
41,"Leblon, (103)","STADIUM AREA, (182)",11.62,1
42,"Maré, (113)","STADIUM AREA, (182)",10.94,1
43,"NITERÓI, (12)","STADIUM AREA, (182)",13.56,1
44,"Praça da Bandeira, (135)","STADIUM AREA, (182)",25.79,1
