origin_id,destination_id,total_trips
0,182,2711.08
1,182,60.12
10,182,1271.36
100,182,31.32
101,182,828.93
102,182,1114.3
103,182,1385.75
104,182,222.35
105,182,1405.28
106,182,890.38
107,182,327.5
108,182,744.85
109,182,1089.63
11,182,1181.78
111,182,2732.36
112,182,853.4
113,182,2848.89
114,182,55.55
115,182,2321.49
116,182,1166.83
117,182,496.93
118,182,368.95
119,182,468.14
12,182,2784.43
121,182,656.35
122,182,258.53
123,182,157.98
124,182,1804.26
125,182,415.86
126,182,29.45
127,182,1181.86
128,182,982.41
129,182,1788.55
13,182,<10
130,182,555.54
131,182,30.77
132,182,173.57
133,182,18.23
134,182,579.62
135,182,4839.22
136,182,903.87
137,182,941.89
138,182,1571.5
139,182,685.83
14,182,5124.87
140,182,844.96
141,182,22.41
142,182,296.91
143,182,4020.75
144,182,2057.38
145,182,562.22
147,182,648.28
148,182,769.73
149,182,1673.76
15,182,144.15
150,182,1482.37
151,182,274.76
152,182,395.19
153,182,583.2
154,182,159.39
155,182,94.43
156,182,176.58
157,182,8254.23
158,182,1577.91
159,182,299.46
16,182,1126.71
160,182,1021.15
161,182,129.46
162,182,27340.03
163,182,905.47
164,182,2054.36
165,182,277.17
166,182,362.55
167,182,66.85
168,182,187.53
169,182,1781.41
17,182,2804.93
170,182,132.26
171,182,397.35
172,182,98.07
173,182,565.81
174,182,9935.83
175,182,257.46
176,182,2199.45
177,182,516.76
178,182,347.67
179,182,117.86
18,182,4032.17
180,182,<10
181,182,337.36
182,0,1438.09
182,1,117.04
182,10,933.65
182,100,26.08
182,101,1031.0
182,102,1669.86
182,103,1725.49
182,104,244.68
182,105,1074.51
182,106,1017.74
182,107,645.18
182,108,591.31
182,109,729.89
182,11,1087.41
182,111,1050.89
182,112,505.0
182,113,2220.83
182,114,34.31
182,115,2011.51
182,116,871.63
182,117,291.81
182,118,302.09
182,119,480.1
182,12,2862.54
182,121,623.02
182,122,483.86
182,123,126.98
182,124,1170.74
182,125,243.04
182,126,26.89
182,127,880.76
182,128,743.71
182,129,1406.72
182,13,67.02
182,130,522.85
182,131,38.9
182,132,205.15
182,133,27.83
182,134,355.15
182,135,4900.25
182,136,778.48
182,137,904.73
182,138,1513.13
182,139,584.6
182,14,4048.4
182,140,745.27
182,141,<10
182,142,679.65
182,143,3772.26
182,144,1628.03
182,145,416.19
182,147,663.02
182,148,432.79
182,149,1457.39
182,15,127.97
182,150,1368.14
182,151,257.58
182,152,381.59
182,153,461.86
182,154,239.73
182,155,62.57
182,156,337.81
182,157,7795.08
182,158,1263.4
182,159,201.16
182,16,541.86
182,160,605.09
182,161,89.96
182,162,26584.44
182,163,652.04
182,164,1031.53
182,165,149.06
182,166,418.74
182,167,74.49
182,168,154.33
182,169,1462.18
182,17,2461.68
182,170,73.52
182,171,621.28
182,172,94.99
182,173,476.06
182,174,9587.07
182,175,436.58
182,176,1738.9
182,177,309.51
182,178,317.68
182,179,108.63
182,18,2620.38
182,180,16.54
182,181,213.32
182,182,93178.15
182,19,187.53
182,2,5548.6
182,20,58.41
182,22,241.41
182,23,191.78
182,24,1261.39
182,25,404.48
182,26,4769.45
182,27,159.17
182,28,83.19
182,29,1076.77
182,3,113.85
182,30,2396.1
182,31,16.66
182,32,159.62
182,33,2658.1
182,34,553.68
182,35,1210.03
182,36,5092.52
182,37,579.25
182,38,1376.22
182,39,72.82
182,4,322.32
182,40,1151.68
182,41,16.16
182,42,79.43
182,43,1468.36
182,44,94.91
182,45,499.31
182,46,1165.91
182,47,501.95
182,48,140.4
182,49,12445.72
182,5,114.97
182,50,1693.58
182,51,799.34
182,52,156.34
182,53,30.93
182,54,800.57
182,55,576.01
182,56,549.75
182,57,4905.72
182,58,336.88
182,59,331.49
182,6,409.07
182,60,167.04
182,61,187.37
182,62,117.07
182,63,815.4
182,64,1303.43
182,65,372.4
182,66,175.7
182,67,1925.64
182,68,1176.62
182,69,1486.24
182,7,602.21
182,70,1752.62
182,71,1768.23
182,72,47.59
182,73,958.61
182,74,724.27
182,75,1308.07
182,76,98.94
182,77,<10
182,78,576.69
182,79,2471.17
182,8,74.81
182,81,327.98
182,82,210.63
182,83,892.0
182,84,644.41
182,85,198.66
182,86,869.8
