origin_id,destination_id,total_trips
0,182,2358.38
1,182,21.03
10,182,1307.6
100,182,22.24
101,182,896.46
102,182,1010.03
103,182,1429.91
104,182,281.05
105,182,1277.05
106,182,955.73
107,182,348.2
108,182,678.29
109,182,865.52
11,182,1004.69
111,182,1761.87
112,182,777.21
113,182,2535.28
114,182,34.89
115,182,1995.96
116,182,1051.0
117,182,450.12
118,182,404.13
119,182,494.68
12,182,2523.81
121,182,632.96
122,182,381.38
123,182,135.11
124,182,1707.33
125,182,399.3
126,182,10.73
127,182,1133.17
128,182,986.75
129,182,1738.38
13,182,24.48
130,182,503.43
131,182,71.55
132,182,167.0
133,182,33.34
134,182,621.9
135,182,4579.65
136,182,959.26
137,182,939.08
138,182,1498.31
139,182,674.46
14,182,4668.01
140,182,576.77
141,182,29.86
142,182,301.64
143,182,3395.48
144,182,1872.84
145,182,449.24
147,182,504.94
148,182,574.13
149,182,1341.63
15,182,100.23
150,182,1270.85
151,182,227.27
152,182,321.19
153,182,568.31
154,182,149.93
155,182,51.02
156,182,270.46
157,182,7105.33
158,182,1395.27
159,182,287.35
16,182,845.85
160,182,1036.17
161,182,96.62
162,182,25503.96
163,182,836.73
164,182,1608.6
165,182,314.32
166,182,367.38
167,182,91.41
168,182,133.68
169,182,1427.11
17,182,2526.18
170,182,136.54
171,182,528.75
172,182,70.61
173,182,522.69
174,182,8960.1
175,182,276.05
176,182,1575.55
177,182,433.77
178,182,310.05
179,182,129.33
18,182,3885.72
180,182,11.91
181,182,362.56
182,0,1453.13
182,1,53.03
182,10,832.42
182,100,<10
182,101,949.73
182,102,1366.26
182,103,1429.58
182,104,270.66
182,105,981.97
182,106,1029.39
182,107,505.16
182,108,578.97
182,109,807.24
182,11,961.76
182,111,964.57
182,112,613.67
182,113,2228.0
182,114,33.51
182,115,1770.04
182,116,1007.73
182,117,342.09
182,118,245.54
182,119,439.29
182,12,2939.89
182,121,604.59
182,122,508.08
182,123,142.25
182,124,1196.36
182,125,275.02
182,126,14.76
182,127,930.23
182,128,766.01
182,129,1501.28
182,13,55.41
182,130,448.7
182,131,55.31
182,132,133.08
182,133,27.11
182,134,444.72
182,135,4394.59
182,136,946.87
182,137,983.03
182,138,1475.87
182,139,610.36
182,14,4067.39
182,140,611.22
182,141,53.68
182,142,438.48
182,143,3134.28
182,144,1480.97
182,145,415.46
182,147,551.39
182,148,455.39
182,149,1227.35
182,15,85.25
182,150,1244.79
182,151,250.37
182,152,301.2
182,153,459.26
182,154,172.15
182,155,62.8
182,156,208.13
182,157,6912.67
182,158,1233.93
182,159,257.71
182,16,652.49
182,160,830.96
182,161,53.72
182,162,24183.7
182,163,666.75
182,164,944.1
182,165,185.37
182,166,478.88
182,167,65.45
182,168,156.23
182,169,1310.86
182,17,2081.49
182,170,92.3
182,171,669.28
182,172,102.23
182,173,401.6
182,174,8381.06
182,175,375.96
182,176,1490.9
182,177,292.28
182,178,262.68
182,179,108.26
182,18,2541.73
182,180,15.06
182,181,246.51
182,182,80603.68
182,19,179.55
182,2,5312.9
182,20,149.35
182,22,220.48
182,23,218.81
182,24,1298.54
182,25,417.19
182,26,4357.16
182,27,306.05
182,28,68.9
182,29,1064.78
182,3,94.65
182,30,2637.21
182,31,<10
182,32,223.05
182,33,2640.37
182,34,577.88
182,35,1367.55
182,36,5293.71
182,37,537.23
182,38,1389.07
182,39,104.96
182,4,272.08
182,40,932.35
182,41,20.85
182,42,84.19
182,43,1394.34
182,44,86.41
182,45,541.61
182,46,1129.15
182,47,445.19
182,48,146.95
182,49,11756.51
182,5,115.08
182,50,1613.06
182,51,917.11
182,52,194.31
182,53,<10
182,54,760.97
182,55,485.63
182,56,599.65
182,57,5151.12
182,58,443.9
182,59,371.83
182,6,439.57
182,60,196.78
182,61,232.81
182,62,129.54
182,63,789.18
182,64,1325.4
182,65,315.3
182,66,169.21
182,67,1697.35
182,68,1090.67
182,69,1609.25
182,7,516.25
182,70,1560.05
182,71,1679.87
182,72,77.88
182,73,1130.63
182,74,800.74
182,75,1321.59
182,76,100.62
182,77,<10
182,78,595.81
182,79,2319.27
182,8,88.51
182,81,372.06
182,82,226.49
182,83,737.38
182,84,629.2
182,85,176.65
182,86,779.66
182,87,2292.68
182,88,214.21
182,89,1683.15
182,9,259.46
182,90,1489.49
182,91,435.03
182,92,2217.89
182,93,417.26
182,94,585.62
182,95,303.38
182,96,905.98
182,97,103.25
182,98,412.05
182,99,210.31
19,182,180.92
2,182,6389.9
20,182,68.65
22,182,296.96
23,182,279.35
24,182,1340.6
25,182,477.43
26,182,4501.98
27,182,340.28
28,182,103.57
29,182,1207.03
3,182,109.52
30,182,2278.37
31,182,17.27
32,182,273.43
33,182,2636.26
34,182,740.12
35,182,1060.05
36,182,4281.1
37,182,713.84
38,182,1665.08
39,182,111.75
4,182,452.85
40,182,1274.46
41,182,24.47
42,182,141.6
43,182,1549.71
44,182,62.8
45,182,756.59
46,182,967.8
47,182,715.02
48,182,282.04
49,182,9922.71
5,182,151.35
50,182,1418.69
51,182,958.03
52,182,208.6
53,182,27.2
54,182,680.67
55,182,734.3
56,182,670.12
57,182,4450.03
58,182,564.28
59,182,466.96
6,182,549.19
60,182,243.11
61,182,415.14
62,182,154.21
63,182,767.92
64,182,1358.58
65,182,652.94
66,182,195.96
67,182,2073.09
68,182,1078.36
69,182,1697.41
7,182,719.18
70,182,1796.35
71,182,1521.8
72,182,71.02
73,182,1318.43
74,182,717.49
75,182,989.5
76,182,137.23
77,182,24.8
78,182,523.63
79,182,2671.73
8,182,50.48
81,182,499.76
82,182,292.25
83,182,702.17
84,182,730.94
85,182,217.83
86,182,562.94
87,182,2127.13
88,182,229.69
89,182,1319.13
9,182,348.66
90,182,1729.72
91,182,373.58
92,182,1896.85
93,182,592.44
94,182,735.64
95,182,321.24
96,182,593.39
97,182,121.24
98,182,373.26
99,182,189.9
