origin_id,destination_id,total_trips
0,182,2733.67
1,182,20.38
10,182,1440.52
100,182,17.6
101,182,1131.54
102,182,1460.67
103,182,2189.1
104,182,423.61
105,182,1412.21
106,182,1387.1
107,182,435.76
108,182,895.85
109,182,1291.75
11,182,1404.74
111,182,3346.59
112,182,956.53
113,182,2932.62
114,182,38.54
115,182,2407.64
116,182,1225.67
117,182,560.9
118,182,446.37
119,182,501.79
12,182,3542.37
121,182,778.45
122,182,484.55
123,182,224.41
124,182,2167.96
125,182,430.62
126,182,17.65
127,182,1225.53
128,182,1024.32
129,182,2487.24
13,182,70.34
130,182,486.74
131,182,70.83
132,182,256.38
133,182,21.14
134,182,716.03
135,182,4709.39
136,182,1015.7
137,182,1122.97
138,182,1939.33
139,182,1172.51
14,182,5175.55
140,182,661.97
141,182,52.06
142,182,242.63
143,182,4257.72
144,182,2254.97
145,182,504.17
147,182,594.32
148,182,768.12
149,182,1568.27
15,182,109.83
150,182,2045.38
151,182,386.06
152,182,250.44
153,182,614.48
154,182,148.14
155,182,87.0
156,182,379.7
157,182,7797.17
158,182,1834.66
159,182,381.92
16,182,1100.29
160,182,1105.64
161,182,97.92
162,182,29705.62
163,182,939.84
164,182,1712.24
165,182,293.62
166,182,387.29
167,182,112.16
168,182,207.83
169,182,1489.11
17,182,3607.38
170,182,162.98
171,182,504.3
172,182,141.36
173,182,736.96
174,182,9661.61
175,182,318.94
176,182,2029.59
177,182,458.13
178,182,333.36
179,182,129.07
18,182,5194.24
180,182,35.2
181,182,534.47
182,0,1557.39
182,1,147.81
182,10,1132.56
182,100,18.45
182,101,1144.61
182,102,1349.01
182,103,1914.64
182,104,316.65
182,105,1186.4
182,106,1033.36
182,107,774.51
182,108,638.15
182,109,830.03
182,11,1268.91
182,111,1306.96
182,112,648.84
182,113,2373.91
182,114,36.17
182,115,1915.5
182,116,1023.43
182,117,339.66
182,118,334.35
182,119,587.9
182,12,4075.96
182,121,763.11
182,122,610.06
182,123,129.3
182,124,1365.24
182,125,372.38
182,126,29.42
182,127,946.37
182,128,862.6
182,129,1598.68
182,13,45.23
182,130,455.3
182,131,49.04
182,132,210.45
182,133,28.43
182,134,495.04
182,135,4885.76
182,136,1007.64
182,137,1118.73
182,138,1907.99
182,139,839.91
182,14,4618.11
182,140,797.04
182,141,31.55
182,142,503.61
182,143,3819.81
182,144,1929.79
182,145,431.93
182,147,786.02
182,148,574.26
182,149,1328.89
182,15,170.76
182,150,1665.04
182,151,278.22
182,152,354.37
182,153,511.17
182,154,213.32
182,155,44.05
182,156,371.28
182,157,6894.78
182,158,1345.23
182,159,279.69
182,16,653.77
182,160,943.12
182,161,82.99
182,162,28082.06
182,163,672.06
182,164,1078.39
182,165,187.04
182,166,387.84
182,167,91.11
182,168,226.5
182,169,1308.73
182,17,3320.62
182,170,75.16
182,171,705.86
182,172,135.11
182,173,549.04
182,174,9541.11
182,175,427.66
182,176,1762.92
182,177,381.64
182,178,312.85
182,179,107.42
182,18,3288.38
182,180,28.77
182,181,279.58
182,182,110383.37
182,19,220.96
182,2,7280.91
182,20,311.43
182,22,232.06
182,23,259.01
182,24,1629.42
182,25,706.37
182,26,4869.69
182,27,249.23
182,28,92.45
182,29,1095.21
182,3,238.91
182,30,3115.2
182,31,16.86
182,32,226.41
182,33,3060.28
182,34,578.76
182,35,1366.1
182,36,5157.41
182,37,586.96
182,38,1471.37
182,39,86.9
182,4,645.57
182,40,1065.95
182,41,29.01
182,42,133.94
182,43,1917.54
182,44,48.73
182,45,558.19
182,46,1206.69
182,47,755.7
182,48,151.94
182,49,9455.5
182,5,256.15
182,50,2400.67
182,51,450.47
182,52,183.45
182,53,21.82
182,54,692.27
182,55,433.55
182,56,628.86
182,57,5602.75
182,58,467.14
182,59,420.97
182,6,513.92
182,60,177.31
182,61,208.98
182,62,215.02
182,63,888.28
182,64,1847.97
182,65,347.29
182,66,159.14
182,67,2044.0
182,68,1360.41
182,69,1540.91
182,7,851.5
182,70,2035.25
182,71,1847.31
182,72,106.55
182,73,1366.18
182,74,733.1
182,75,1194.65
182,76,94.07
182,77,18.38
182,78,579.53
182,79,2497.29
182,8,115.44
182,81,501.34
182,82,218.31
182,83,833.22
182,84,664.2
182,85,178.92
182,86,951.09
182,87,2519.7
182,88,272.81
182,89,1583.93
182,9,591.27
182,90,1356.09
182,91,478.3
182,92,2671.68
182,93,547.05
182,94,746.09
182,95,365.87
182,96,1205.45
182,97,129.64
182,98,464.22
182,99,99.8
19,182,328.35
2,182,9404.4
20,182,206.43
22,182,256.94
23,182,331.04
24,182,1658.76
25,182,722.85
26,182,4972.94
27,182,341.65
28,182,136.68
29,182,1394.61
3,182,142.31
30,182,3226.72
31,182,19.02
32,182,266.72
33,182,3445.17
34,182,944.95
35,182,1367.33
36,182,5045.19
37,182,762.27
38,182,1884.87
39,182,143.78
4,182,613.65
40,182,2253.76
41,182,<10
42,182,185.78
43,182,1627.13
44,182,70.64
45,182,945.44
46,182,1095.41
47,182,947.48
48,182,259.29
49,182,9813.01
5,182,238.29
50,182,1738.83
51,182,921.22
52,182,271.1
53,182,53.74
54,182,990.32
55,182,625.96
56,182,704.37
57,182,6454.14
58,182,697.86
59,182,581.74
6,182,723.79
60,182,253.01
61,182,367.69
62,182,220.99
63,182,1186.39
64,182,2311.05
65,182,928.74
66,182,215.13
67,182,2517.3
68,182,1032.91
69,182,1811.4
7,182,873.64
70,182,2081.16
71,182,1896.84
72,182,103.47
73,182,1324.07
74,182,958.42
75,182,1092.84
76,182,198.02
77,182,18.94
78,182,509.01
79,182,2865.51
8,182,88.61
81,182,491.99
82,182,361.41
83,182,826.16
84,182,850.4
85,182,351.93
86,182,595.89
87,182,2679.86
88,182,242.07
89,182,1764.2
9,182,425.03
90,182,1718.29
91,182,539.3
92,182,2455.76
93,182,668.88
94,182,876.42
95,182,401.85
96,182,871.06
97,182,206.64
98,182,595.32
99,182,196.86
