origin_id,destination_id,total_trips
0,182,2679.72
1,182,12.18
10,182,1263.49
100,182,<10
101,182,858.48
102,182,1144.48
103,182,1562.28
104,182,196.71
105,182,1389.66
106,182,1167.02
107,182,347.29
108,182,703.94
109,182,981.91
11,182,1119.3
111,182,2520.56
112,182,885.91
113,182,2808.1
114,182,53.37
115,182,2309.6
116,182,1008.12
117,182,491.05
118,182,328.33
119,182,517.27
12,182,2802.59
121,182,648.34
122,182,290.86
123,182,184.54
124,182,1736.42
125,182,406.35
126,182,16.72
127,182,1202.57
128,182,935.44
129,182,2027.23
13,182,41.57
130,182,546.1
131,182,45.05
132,182,167.26
133,182,33.13
134,182,728.3
135,182,5213.7
136,182,919.75
137,182,983.77
138,182,1650.75
139,182,739.51
14,182,4503.71
140,182,759.71
141,182,11.13
142,182,352.93
143,182,4182.61
144,182,2360.34
145,182,569.5
147,182,631.7
148,182,572.53
149,182,1655.24
15,182,114.39
150,182,1519.92
151,182,262.39
152,182,332.08
153,182,508.15
154,182,156.03
155,182,102.94
156,182,190.42
157,182,7863.43
158,182,1588.88
159,182,302.76
16,182,1028.89
160,182,958.73
161,182,100.06
162,182,26892.8
163,182,934.5
164,182,2431.53
165,182,233.21
166,182,312.5
167,182,103.32
168,182,112.68
169,182,1701.18
17,182,2628.56
170,182,134.57
171,182,484.89
172,182,125.63
173,182,508.36
174,182,10152.55
175,182,252.09
176,182,1805.16
177,182,441.35
178,182,320.75
179,182,90.73
18,182,4156.26
180,182,23.09
181,182,363.43
182,0,1567.13
182,1,86.79
182,10,1248.35
182,100,20.95
182,101,1350.14
182,102,1885.43
182,103,2305.86
182,104,315.32
182,105,1223.05
182,106,1332.58
182,107,1373.27
182,108,583.14
182,109,902.31
182,11,1387.42
182,111,1364.67
182,112,524.37
182,113,2497.15
182,114,32.94
182,115,2068.99
182,116,1052.31
182,117,355.72
182,118,256.38
182,119,533.77
182,12,3708.5
182,121,844.95
182,122,577.66
182,123,159.37
182,124,1291.74
182,125,416.81
182,126,18.22
182,127,1094.56
182,128,928.3
182,129,1925.52
182,13,162.86
182,130,574.27
182,131,49.76
182,132,229.07
182,133,20.11
182,134,552.36
182,135,5401.62
182,136,1133.76
182,137,1118.26
182,138,2334.53
182,139,869.21
182,14,4162.44
182,140,710.57
182,141,13.57
182,142,913.71
182,143,3993.57
182,144,1804.36
182,145,491.27
182,147,620.84
182,148,440.28
182,149,1625.66
182,15,127.1
182,150,1751.44
182,151,329.24
182,152,379.09
182,153,491.1
182,154,246.35
182,155,96.31
182,156,371.86
182,157,7608.88
182,158,1272.05
182,159,283.13
182,16,458.82
182,160,875.04
182,161,105.26
182,162,25640.28
